[13056.817163] 1536:27f
[13056.817168] 1010:27f
[13056.817173] 974:27f
[13056.817177] 1025:27f
[13056.817182] 966:27f
[13056.817187] 1381:27f
[13056.817192] 1034:27f
[13056.817196] 1103:27f
[13056.817201] 1013:27f
[13056.817205] 986:27f
[13056.817210] 1191:27f
[13056.817215] 1132:27f
[13056.817220] 986:27f
[13056.817224] 973:27f
[13056.817229] 966:27f
[13056.817234] 974:27f
[13056.817238] 994:27f
[13056.817243] 967:27f
[13056.817248] 969:27f
[13056.817252] 1002:27f
[13056.817257] 990:27f
[13056.817262] 988:27f
[13056.817266] 976:27f
[13056.817271] 992:27f
[13056.817276] 1069:27f
[13056.817280] 971:27f
[13056.817285] 1067:27f
[13056.817290] 1111:22f
[13056.817294] 1239:17f
[13056.817299] 1065:27f
[13056.817304] 1127:27f
[13056.817309] 1073:27f
[13056.817313] 1040:27f
[13056.817318] 992:27f
[13056.817323] 966:27f
[13056.817327] 973:27f
[13056.817332] 984:27f
[13056.817337] 974:27f
[13056.817341] 969:27f
[13056.817346] 965:27f
[13056.817350] 967:27f
[13056.817355] 973:27f
[13056.817360] 1144:27f
[13056.817365] 972:27f
[13056.817369] 986:27f
[13056.817374] 1266:27f
[13056.817379] 968:27f
[13056.817383] 971:27f
[13056.817388] 969:27f
[13056.817393] 995:27f
[13056.817397] 990:27f
[13056.817402] 977:27f
[13056.817407] 904:22f
[13056.817411] 642:17f
[13056.817416] 1057:27f
[13056.817421] 970:27f
[13056.817425] 1002:27f
[13056.817430] 1047:27f
[13056.817435] 970:27f
[13056.817440] 1488:27f
[13056.817444] 979:27f
[13056.817449] 974:27f
[13056.817454] 978:27f
[13056.817458] 1010:27f
[13056.817463] 969:27f
[13056.817468] 915:17f
[13056.817472] 598:22f
[13056.817477] 1005:27f
[13056.817482] 1027:27f
[13056.817486] 106:18f
[13056.817491] 1320:27f
[13056.817496] 963:27f
[13056.817500] 1531:27f
[13056.817505] 2334:27f
[13056.817510] 1537:22f
[13056.817515] 981:22f
[13056.817519] 944:22f
[13056.817524] 589:17f
[13056.817529] 425:22f
[13056.817533] 579:17f
[13056.817538] 371:22f
[13056.817543] 595:17f
[13056.817547] 412:22f
[13056.817552] 560:17f
[13056.817556] 398:22f
[13056.817561] 563:17f
[13056.817566] 405:22f
[13056.817570] 579:17f
[13056.817575] 382:22f
[13056.817580] 576:17f
[13056.817585] 393:22f
[13056.817589] 586:17f
[13056.817594] 380:22f
[13056.817598] 583:17f
[13056.817603] 364:22f
[13056.817608] 608:17f
[13056.817612] 381:22f
[13056.817617] 588:17f
[13056.817622] 412:22f
[13056.817626] 534:17f
[13056.817631] 435:22f
[13056.817636] 536:17f
[13056.817640] 427:22f
[13056.817645] 545:17f
[13056.817650] 428:22f
[13056.817654] 585:17f
[13056.817659] 361:22f
[13056.817664] 595:17f
[13056.817668] 367:22f
[13056.817673] 633:17f
[13056.817678] 333:22f
[13056.817682] 621:17f
[13056.817687] 351:22f
[13056.817692] 641:17f
[13056.817696] 304:22f
[13056.817701] 648:17f
[13056.817705] 344:22f
[13056.817710] 628:17f
[13056.817715] 540:22f
[13056.817719] 412:17f
[13056.817724] 556:22f
[13056.817729] 447:17f
[13056.817733] 517:22f
[13056.817738] 433:17f
[13056.817743] 567:22f
[13056.817747] 397:17f
[13056.817752] 576:22f
[13056.817757] 380:17f
[13056.817761] 615:22f
[13056.817766] 350:17f
[13056.817771] 613:22f
[13056.817775] 332:17f
[13056.817780] 621:22f
[13056.817785] 393:17f
