[21103.500728] 1038:27f
[21103.500733] 217:18f
[21103.500737] 1360:27f
[21103.500742] 359:22f
[21103.500747] 1044:27f
[21103.500751] 956:17f
[21103.500756] 23:22f
[21103.500761] 984:22f
[21103.500765] 1:27f
[21103.500770] 1076:22f
[21103.500775] 29:17f
[21103.500780] 989:27f
[21103.500785] 1122:22f
[21103.500789] 33:17f
[21103.500794] 972:17f
[21103.500799] 167:22f
[21103.500803] 957:22f
[21103.500808] 15:17f
[21103.500813] 978:17f
[21103.500818] 231:22f
[21103.500822] 865:17f
[21103.500827] 323:22f
[21103.500832] 658:17f
[21103.500837] 413:22f
[21103.500841] 706:17f
[21103.500846] 381:22f
[21103.500851] 852:17f
[21103.500855] 264:22f
[21103.500860] 873:17f
[21103.500865] 89:22f
[21103.500870] 988:17f
[21103.500874] 211:22f
[21103.500879] 762:17f
[21103.500884] 210:22f
[21103.500888] 754:17f
[21103.500893] 208:22f
[21103.500898] 985:17f
[21103.500902] 252:22f
[21103.500907] 718:17f
[21103.500912] 262:22f
[21103.500917] 742:17f
[21103.500921] 358:22f
[21103.500926] 844:17f
[21103.500931] 165:22f
[21103.500935] 880:17f
[21103.500940] 300:22f
[21103.500945] 925:17f
[21103.500950] 76:22f
[21103.500954] 928:17f
[21103.500959] 144:22f
[21103.500964] 981:27f
[21103.500969] 963:17f
[21103.500973] 8:27f
[21103.500978] 952:27f
[21103.500982] 982:27f
[21103.500987] 917:22f
[21103.500992] 120:17f
[21103.500997] 1060:27f
[21103.501001] 937:22f
[21103.501006] 58:17f
[21103.501011] 1060:27f
[21103.501016] 954:27f
[21103.501020] 15:17f
[21103.501025] 937:22f
[21103.501030] 105:17f
[21103.501034] 1059:22f
[21103.501039] 113:17f
[21103.501044] 862:22f
[21103.501049] 137:17f
[21103.501053] 890:22f
[21103.501058] 292:17f
[21103.501063] 810:22f
[21103.501067] 394:17f
[21103.501072] 835:22f
[21103.501077] 192:17f
[21103.501082] 912:22f
[21103.501086] 72:17f
[21103.501091] 969:22f
[21103.501096] 267:17f
[21103.501100] 865:22f
[21103.501105] 291:17f
[21103.501110] 814:22f
[21103.501115] 319:17f
[21103.501119] 915:22f
[21103.501124] 306:17f
[21103.501129] 724:22f
[21103.501133] 328:17f
[21103.501138] 774:22f
[21103.501143] 416:17f
[21103.501148] 622:22f
[21103.501152] 463:17f
[21103.501157] 695:22f
[21103.501162] 291:17f
[21103.501166] 741:22f
[21103.501171] 269:17f
[21103.501176] 699:22f
[21103.501180] 448:17f
[21103.501185] 699:22f
[21103.501190] 277:17f
[21103.501195] 940:27f
[21103.501199] 10:22f
[21103.501204] 960:27f
[21103.501209] 940:17f
[21103.501213] 34:22f
[21103.501218] 940:27f
[21103.501223] 964:27f
[21103.501227] 975:27f
[21103.501232] 16:17f
[21103.501237] 950:27f
[21103.501242] 927:22f
[21103.501246] 2:17f
[21103.501251] 970:17f
[21103.501256] 820:22f
[21103.501260] 132:17f
[21103.501265] 1005:27f
[21103.501270] 1083:17f
[21103.501275] 64:22f
[21103.501279] 1057:17f
[21103.501284] 918:27f
[21103.501289] 965:22f
[21103.501293] 8:27f
[21103.501298] 975:27f
[21103.501303] 959:27f
[21103.501308] 966:27f
[21103.501312] 916:17f
[21103.501317] 550:22f
[21103.501322] 613:17f
[21103.501326] 858:22f
[21103.501331] 275:17f
[21103.501336] 1099:27f
[21103.501341] 986:27f
[21103.501345] 951:27f
[21103.501350] 929:17f
[21103.501355] 234:22f
[21103.501359] 828:17f
[21103.501364] 278:22f
[21103.501369] 672:17f
[21103.501374] 1244:22f
[21103.501378] 100:17f
[21103.501383] 889:27f
[21103.501388] 967:27f
[21103.501392] 21:17f
[21103.501397] 992:27f
[21103.501402] 950:27f
[21103.501406] 965:27f
[21103.501411] 963:17f
[21103.501416] 3:27f
[21103.501421] 956:17f
[21103.501425] 263:22f
[21103.501430] 763:17f
[21103.501434] 947:27f
[21103.501439] 955:27f
[21103.501444] 8:17f
[21103.501449] 1115:22f
[21103.501453] 42:17f
[21103.501458] 931:27f
[21103.501462] 971:17f
[21103.501467] 908:27f
[21103.501472] 1087:27f
[21103.501477] 878:18f
[21103.501481] 1350:27f
[21103.501486] 38:22f
[21103.501491] 133:17f
[21103.501496] 799:27f
[21103.501500] 993:22f
[21103.501505] 71:17f
[21103.501510] 1019:17f
[21103.501514] 99:22f
[21103.501519] 901:17f
[21103.501524] 288:22f
[21103.501528] 687:17f
[21103.501533] 497:22f
[21103.501538] 545:17f
[21103.501542] 486:22f
[21103.501547] 627:17f
[21103.501552] 526:22f
[21103.501556] 659:17f
[21103.501561] 487:22f
[21103.501566] 479:17f
[21103.501571] 485:22f
[21103.501575] 598:17f
[21103.501580] 455:22f
[21103.501585] 619:17f
[21103.501589] 391:22f
[21103.501594] 838:17f
[21103.501599] 250:22f
[21103.501603] 781:17f
[21103.501608] 205:22f
[21103.501613] 964:17f
[21103.501617] 195:22f
[21103.501622] 775:17f
[21103.501627] 430:22f
[21103.501631] 553:17f
[21103.501636] 436:22f
[21103.501641] 697:17f
[21103.501646] 364:22f
[21103.501650] 667:17f
[21103.501655] 387:22f
[21103.501660] 622:17f
[21103.501665] 508:22f
[21103.501669] 535:17f
[21103.501674] 440:22f
[21103.501678] 678:17f
[21103.501683] 446:22f
[21103.501688] 564:17f
[21103.501693] 562:22f
[21103.501697] 619:17f
[21103.501702] 348:22f
[21103.501707] 663:17f
[21103.501711] 353:22f
[21103.501716] 715:17f
[21103.501721] 431:22f
[21103.501726] 588:17f
[21103.501730] 601:22f
[21103.501735] 583:17f
[21103.501740] 478:22f
[21103.501744] 544:17f
[21103.501749] 641:22f
[21103.501754] 585:17f
[21103.501758] 450:22f
[21103.501763] 724:17f
[21103.501768] 456:22f
[21103.501773] 814:17f
[21103.501777] 154:22f
[21103.501782] 955:17f
[21103.501787] 230:22f
[21103.501791] 998:17f
[21103.501796] 213:22f
[21103.501801] 958:27f
[21103.501805] 945:17f
[21103.501810] 212:22f
[21103.501815] 808:17f
[21103.501820] 160:22f
[21103.501824] 945:17f
[21103.501829] 18:22f
[21103.501834] 1021:17f
[21103.501838] 32:22f
[21103.501843] 967:17f
[21103.501848] 123:22f
[21103.501852] 999:22f
[21103.501857] 64:17f
[21103.501862] 906:22f
[21103.501866] 179:17f
[21103.501871] 1027:17f
[21103.501876] 0:22f
[21103.501880] 985:17f
[21103.501885] 170:22f
[21103.501890] 1032:17f
[21103.501895] 38:22f
[21103.501899] 943:27f
