[18679.599074] 1042:17f
[18679.599078] 1035:17f
[18679.599083] 967:17f
[18679.599088] 987:17f
[18679.599092] 1039:17f
[18679.599097] 1233:17f
[18679.599102] 966:17f
[18679.599106] 1053:17f
[18679.599111] 996:17f
[18679.599116] 1003:17f
[18679.599121] 1068:17f
[18679.599126] 1092:17f
[18679.599130] 1046:17f
[18679.599135] 969:17f
[18679.599140] 1000:17f
[18679.599144] 998:17f
[18679.599149] 1011:17f
[18679.599154] 1356:17f
[18679.599158] 967:17f
[18679.599163] 1078:17f
[18679.599168] 1026:17f
[18679.599173] 991:17f
[18679.599177] 977:17f
[18679.599182] 969:17f
[18679.599187] 970:17f
[18679.599192] 1150:17f
[18679.599196] 965:17f
[18679.599201] 1032:17f
[18679.599206] 990:17f
[18679.599210] 1031:17f
[18679.599215] 1005:17f
[18679.599220] 1012:17f
[18679.599225] 1075:17f
[18679.599229] 1060:17f
[18679.599234] 992:17f
[18679.599239] 1041:17f
[18679.599244] 1045:17f
[18679.599248] 976:17f
[18679.599253] 1038:17f
[18679.599258] 1035:17f
[18679.599263] 971:17f
[18679.599267] 985:17f
[18679.599272] 968:17f
[18679.599277] 976:17f
[18679.599281] 1061:17f
[18679.599286] 968:17f
[18679.599291] 969:17f
[18679.599296] 974:17f
[18679.599300] 1070:17f
[18679.599305] 985:17f
[18679.599309] 970:17f
[18679.599314] 993:17f
[18679.599319] 1043:17f
[18679.599324] 1052:17f
[18679.599329] 1051:17f
[18679.599333] 965:17f
[18679.599338] 1037:17f
[18679.599343] 1029:17f
[18679.599347] 970:17f
[18679.599352] 968:17f
[18679.599357] 1011:17f
[18679.599362] 1110:17f
[18679.599366] 975:17f
[18679.599371] 972:17f
[18679.599376] 1050:17f
[18679.599380] 1068:17f
[18679.599385] 1123:17f
[18679.599390] 971:17f
[18679.599395] 974:17f
[18679.599399] 1009:17f
[18679.599404] 894:18f
[18679.599409] 1576:17f
[18679.599414] 966:17f
[18679.599418] 971:17f
[18679.599423] 1290:17f
[18679.599428] 1633:17f
[18679.599433] 1284:17f
[18679.599437] 1769:17f
[18679.599442] 1937:17f
[18679.599447] 1311:17f
[18679.599452] 969:17f
[18679.599456] 2153:17f
[18679.599461] 1287:17f
[18679.599466] 1771:17f
[18679.599470] 989:17f
[18679.599475] 1609:17f
[18679.599480] 2037:17f
[18679.599484] 1516:17f
[18679.599489] 1732:17f
[18679.599494] 2000:17f
[18679.599499] 1057:17f
[18679.599504] 1274:17f
[18679.599508] 1396:17f
[18679.599513] 1544:17f
[18679.599518] 1833:17f
[18679.599522] 1428:17f
[18679.599527] 1847:17f
[18679.599532] 1596:17f
[18679.599536] 1642:17f
[18679.599541] 2176:17f
[18679.599546] 1210:17f
[18679.599551] 1503:17f
[18679.599555] 1708:17f
[18679.599560] 1676:17f
[18679.599565] 1942:17f
[18679.599570] 1676:17f
[18679.599574] 1191:17f
[18679.599579] 2164:17f
[18679.599584] 1427:17f
[18679.599588] 2061:17f
[18679.599593] 1903:17f
[18679.599598] 2196:17f
[18679.599602] 1439:17f
[18679.599607] 1468:17f
[18679.599612] 1069:17f
[18679.599617] 1495:17f
[18679.599621] 2169:17f
[18679.599626] 2051:17f
[18679.599631] 1967:17f
[18679.599635] 1811:17f
[18679.599640] 1631:17f
[18679.599645] 1328:17f
[18679.599650] 1357:17f
[18679.599654] 2163:17f
[18679.599659] 1555:17f
[18679.599664] 976:17f
[18679.599669] 1220:17f
[18679.599673] 1848:17f
[18679.599678] 1970:17f
[18679.599683] 1870:17f
[18679.599687] 2186:17f
[18679.599692] 2014:17f
[18679.599697] 1137:18f
[18679.599702] 1606:17f
[18679.599706] 1556:17f
[18679.599711] 2205:17f
[18679.599716] 1417:17f
[18679.599720] 1167:17f
[18679.599725] 1192:17f
[18679.599730] 1786:17f
[18679.599734] 1229:17f
[18679.599739] 2035:17f
[18679.599744] 1962:17f
[18679.599749] 1121:17f
[18679.599753] 1160:17f
[18679.599758] 1218:17f
[18679.599763] 974:17f
[18679.599768] 1866:17f
[18679.599772] 1508:17f
[18679.599777] 1550:17f
[18679.599782] 1572:17f
[18679.599786] 1389:17f
[18679.599791] 1939:17f
[18679.599796] 1475:17f
[18679.599801] 1693:17f
[18679.599805] 1981:17f
