[11657.708435] 248:22f
[11657.708440] 759:17f
[11657.708445] 214:22f
[11657.708449] 743:17f
[11657.708454] 227:22f
[11657.708459] 780:17f
[11657.708463] 192:22f
[11657.708468] 776:17f
[11657.708473] 188:22f
[11657.708477] 801:17f
[11657.708482] 150:22f
[11657.708487] 821:17f
[11657.708491] 175:22f
[11657.708496] 810:17f
[11657.708501] 148:22f
[11657.708505] 825:17f
[11657.708510] 165:22f
[11657.708515] 797:17f
[11657.708520] 173:22f
[11657.708524] 829:17f
[11657.708529] 156:22f
[11657.708534] 812:17f
[11657.708539] 159:22f
[11657.708543] 831:17f
[11657.708548] 126:22f
[11657.708553] 865:17f
[11657.708557] 136:22f
[11657.708562] 833:17f
[11657.708567] 139:22f
[11657.708571] 832:17f
[11657.708576] 155:22f
[11657.708581] 829:17f
[11657.708585] 144:22f
[11657.708590] 833:17f
[11657.708595] 127:22f
[11657.708600] 849:17f
[11657.708604] 129:22f
[11657.708609] 847:17f
[11657.708614] 121:22f
[11657.708618] 866:17f
[11657.708623] 99:22f
[11657.708628] 612:18f
[11657.708632] 1530:27f
[11657.708637] 168:17f
[11657.708642] 25:22f
[11657.708647] 792:27f
[11657.708651] 965:27f
[11657.708656] 1009:27f
[11657.708661] 1142:27f
[11657.708665] 958:27f
[11657.708670] 978:27f
[11657.708675] 958:27f
[11657.708680] 1273:27f
[11657.708684] 1005:27f
[11657.708689] 945:27f
[11657.708694] 1020:27f
[11657.708699] 963:27f
[11657.708703] 945:27f
[11657.708708] 1012:27f
[11657.708713] 949:27f
[11657.708718] 1046:27f
[11657.708722] 917:17f
[11657.708727] 948:27f
[11657.708732] 1174:27f
[11657.708736] 984:27f
[11657.708741] 981:27f
[11657.708746] 968:27f
[11657.708751] 964:27f
[11657.708755] 976:17f
[11657.708760] 783:22f
[11657.708765] 948:27f
[11657.708769] 1128:27f
[11657.708774] 953:27f
[11657.708779] 987:27f
[11657.708784] 1136:27f
[11657.708788] 1421:27f
[11657.708793] 1075:27f
[11657.708798] 1024:27f
[11657.708803] 1129:27f
[11657.708807] 1124:27f
[11657.708812] 961:27f
[11657.708817] 949:27f
[11657.708822] 969:27f
[11657.708826] 947:27f
[11657.708831] 981:27f
[11657.708836] 948:27f
[11657.708840] 1012:27f
[11657.708845] 979:27f
[11657.708850] 983:27f
[11657.708854] 985:27f
[11657.708859] 1198:27f
[11657.708864] 967:27f
[11657.708869] 1010:27f
[11657.708873] 960:17f
[11657.708878] 866:22f
[11657.708883] 1069:27f
[11657.708888] 949:27f
[11657.708892] 1013:27f
[11657.708897] 974:27f
[11657.708902] 968:27f
[11657.708906] 963:27f
[11657.708911] 994:27f
[11657.708916] 968:27f
[11657.708921] 945:27f
[11657.708925] 15:17f
[11657.708930] 998:27f
[11657.708935] 947:27f
[11657.708940] 966:27f
[11657.708944] 946:27f
[11657.708949] 972:27f
[11657.708954] 992:27f
[11657.708958] 968:27f
[11657.708963] 974:27f
[11657.708968] 1030:27f
[11657.708973] 978:27f
[11657.708977] 967:27f
[11657.708982] 970:27f
[11657.708987] 1129:27f
[11657.708991] 1007:27f
[11657.708996] 961:27f
[11657.709001] 976:27f
[11657.709006] 963:27f
[11657.709010] 983:27f
[11657.709015] 964:27f
[11657.709020] 980:27f
[11657.709024] 954:27f
[11657.709029] 984:27f
[11657.709034] 951:17f
[11657.709039] 964:27f
[11657.709043] 958:27f
[11657.709048] 966:27f
[11657.709053] 972:27f
[11657.709057] 968:27f
[11657.709062] 970:27f
[11657.709067] 968:27f
[11657.709072] 972:27f
[11657.709076] 974:27f
[11657.709081] 983:27f
[11657.709086] 990:27f
[11657.709090] 969:27f
[11657.709095] 968:27f
[11657.709100] 978:27f
[11657.709105] 977:27f
[11657.709109] 980:27f
[11657.709114] 968:18f
[11657.709119] 1300:27f
[11657.709124] 162:22f
[11657.709128] 105:17f
[11657.709133] 1893:27f
[11657.709138] 1445:27f
[11657.709143] 2403:27f
[11657.709147] 1874:27f
[11657.709152] 1312:22f
[11657.709157] 465:17f
[11657.709161] 501:22f
[11657.709166] 503:17f
[11657.709171] 494:22f
[11657.709176] 453:17f
[11657.709180] 505:22f
[11657.709185] 495:17f
[11657.709190] 450:22f
[11657.709194] 509:17f
[11657.709199] 492:22f
[11657.709204] 483:17f
[11657.709208] 488:22f
[11657.709213] 473:17f
[11657.709218] 470:22f
[11657.709223] 497:17f
[11657.709227] 466:22f
[11657.709232] 495:17f
[11657.709237] 450:22f
[11657.709241] 508:17f
[11657.709246] 498:22f
[11657.709251] 473:17f
[11657.709255] 522:22f
[11657.709260] 425:17f
[11657.709265] 541:22f
[11657.709270] 535:17f
[11657.709274] 447:22f
[11657.709279] 512:17f
[11657.709284] 450:22f
[11657.709288] 532:17f
[11657.709293] 459:22f
[11657.709298] 506:17f
[11657.709302] 469:22f
[11657.709307] 504:17f
[11657.709312] 442:22f
[11657.709317] 503:17f
[11657.709321] 510:22f
[11657.709326] 466:17f
[11657.709331] 504:22f
[11657.709335] 461:17f
[11657.709340] 530:22f
[11657.709345] 482:17f
[11657.709350] 530:22f
[11657.709354] 412:17f
[11657.709359] 552:22f
[11657.709364] 421:17f
[11657.709368] 535:22f
[11657.709373] 437:17f
[11657.709378] 527:22f
[11657.709382] 458:17f
[11657.709387] 497:22f
[11657.709392] 471:17f
[11657.709397] 497:22f
[11657.709401] 495:17f
[11657.709406] 459:22f
[11657.709411] 540:17f
[11657.709415] 436:22f
[11657.709420] 540:17f
[11657.709425] 453:22f
[11657.709430] 526:17f
[11657.709434] 417:22f
[11657.709439] 561:17f
[11657.709444] 408:22f
[11657.709448] 570:17f
[11657.709453] 394:22f
[11657.709458] 570:17f
[11657.709462] 394:22f
[11657.709467] 578:17f
[11657.709472] 386:22f
[11657.709477] 573:17f
[11657.709481] 399:22f
[11657.709486] 595:17f
[11657.709491] 421:22f
[11657.709495] 531:17f
[11657.709500] 431:22f
[11657.709505] 551:17f
[11657.709509] 422:22f
[11657.709514] 566:17f
[11657.709519] 410:22f
[11657.709524] 554:17f
[11657.709528] 420:22f
[11657.709533] 569:17f
