[ 9952.761593] 711:22f
[ 9952.761597] 256:17f
[ 9952.761602] 703:22f
[ 9952.761607] 290:17f
[ 9952.761611] 708:22f
[ 9952.761616] 258:17f
[ 9952.761620] 710:22f
[ 9952.761625] 259:17f
[ 9952.761630] 728:22f
[ 9952.761635] 219:17f
[ 9952.761639] 775:22f
[ 9952.761644] 198:17f
[ 9952.761648] 759:22f
[ 9952.761653] 213:17f
[ 9952.761658] 753:22f
[ 9952.761662] 229:17f
[ 9952.761667] 758:22f
[ 9952.761672] 209:17f
[ 9952.761676] 783:22f
[ 9952.761681] 208:17f
[ 9952.761686] 767:22f
[ 9952.761690] 247:17f
[ 9952.761695] 723:22f
[ 9952.761700] 247:17f
[ 9952.761704] 720:22f
[ 9952.761709] 252:17f
[ 9952.761714] 741:22f
[ 9952.761718] 331:17f
[ 9952.761723] 629:22f
[ 9952.761728] 344:17f
[ 9952.761732] 654:22f
[ 9952.761737] 329:17f
[ 9952.761742] 630:22f
[ 9952.761746] 335:17f
[ 9952.761751] 629:22f
[ 9952.761756] 329:17f
[ 9952.761760] 729:22f
[ 9952.761765] 275:17f
[ 9952.761770] 719:22f
[ 9952.761774] 238:17f
[ 9952.761779] 728:22f
[ 9952.761784] 236:17f
[ 9952.761788] 738:22f
[ 9952.761793] 253:17f
[ 9952.761797] 783:22f
[ 9952.761802] 188:17f
[ 9952.761807] 776:22f
[ 9952.761811] 214:17f
[ 9952.761816] 763:22f
[ 9952.761821] 220:17f
[ 9952.761825] 742:22f
[ 9952.761830] 231:17f
[ 9952.761835] 762:22f
[ 9952.761840] 250:17f
[ 9952.761844] 745:22f
[ 9952.761849] 226:17f
[ 9952.761854] 757:22f
[ 9952.761858] 247:17f
[ 9952.761863] 724:22f
[ 9952.761867] 252:17f
[ 9952.761872] 741:22f
[ 9952.761877] 228:17f
[ 9952.761881] 752:22f
[ 9952.761886] 224:17f
[ 9952.761891] 741:22f
[ 9952.761895] 235:17f
[ 9952.761900] 741:22f
[ 9952.761905] 228:17f
[ 9952.761909] 753:22f
[ 9952.761914] 224:17f
[ 9952.761919] 789:22f
[ 9952.761923] 180:17f
[ 9952.761928] 788:22f
[ 9952.761933] 181:17f
[ 9952.761937] 793:22f
[ 9952.761942] 221:17f
[ 9952.761946] 832:22f
[ 9952.761951] 134:17f
[ 9952.761956] 832:22f
[ 9952.761960] 159:17f
[ 9952.761965] 806:22f
[ 9952.761970] 157:17f
[ 9952.761974] 815:22f
[ 9952.761979] 161:17f
[ 9952.761984] 842:22f
[ 9952.761988] 118:17f
[ 9952.761993] 847:22f
[ 9952.761997] 122:17f
[ 9952.762002] 873:22f
[ 9952.762007] 100:17f
[ 9952.762012] 864:22f
[ 9952.762016] 120:17f
[ 9952.762021] 849:22f
[ 9952.762025] 126:17f
[ 9952.762030] 925:22f
[ 9952.762035] 36:17f
[ 9952.762040] 928:22f
[ 9952.762044] 40:17f
[ 9952.762049] 929:22f
[ 9952.762054] 40:17f
[ 9952.762058] 921:22f
[ 9952.762063] 62:17f
[ 9952.762067] 915:22f
[ 9952.762072] 71:17f
[ 9952.762077] 904:22f
[ 9952.762081] 54:17f
[ 9952.762086] 940:22f
[ 9952.762090] 73:17f
[ 9952.762095] 876:22f
[ 9952.762100] 101:17f
[ 9952.762105] 888:22f
[ 9952.762109] 109:17f
[ 9952.762114] 876:22f
[ 9952.762118] 100:17f
[ 9952.762123] 887:22f
[ 9952.762128] 103:17f
[ 9952.762132] 873:22f
[ 9952.762137] 104:17f
[ 9952.762142] 852:22f
[ 9952.762146] 139:17f
[ 9952.762151] 829:22f
[ 9952.762156] 147:17f
[ 9952.762160] 836:22f
[ 9952.762165] 139:17f
[ 9952.762170] 832:22f
[ 9952.762174] 145:17f
[ 9952.762179] 834:22f
[ 9952.762184] 142:17f
[ 9952.762188] 828:22f
[ 9952.762193] 291:17f
[ 9952.762198] 688:22f
[ 9952.762202] 283:17f
[ 9952.762207] 740:22f
[ 9952.762212] 253:17f
[ 9952.762216] 715:22f
[ 9952.762221] 253:17f
[ 9952.762226] 737:22f
[ 9952.762230] 240:17f
[ 9952.762235] 724:22f
[ 9952.762240] 270:17f
[ 9952.762244] 707:22f
[ 9952.762249] 257:17f
[ 9952.762254] 724:22f
[ 9952.762258] 253:17f
[ 9952.762263] 721:22f
[ 9952.762267] 256:17f
[ 9952.762272] 723:22f
[ 9952.762277] 252:17f
[ 9952.762281] 707:22f
[ 9952.762286] 323:17f
[ 9952.762291] 655:22f
[ 9952.762295] 322:17f
[ 9952.762300] 670:22f
[ 9952.762305] 341:17f
[ 9952.762310] 625:22f
[ 9952.762314] 352:17f
[ 9952.762319] 641:22f
[ 9952.762323] 342:17f
[ 9952.762328] 619:22f
