[ 5805.408464] 659:22f
[ 5805.408468] 450:17f
[ 5805.408473] 625:22f
[ 5805.408478] 491:17f
[ 5805.408482] 616:22f
[ 5805.408487] 471:17f
[ 5805.408492] 546:22f
[ 5805.408496] 444:17f
[ 5805.408501] 675:22f
[ 5805.408506] 414:17f
[ 5805.408510] 820:22f
[ 5805.408515] 320:17f
[ 5805.408519] 863:22f
[ 5805.408524] 124:17f
[ 5805.408529] 1033:22f
[ 5805.408533] 39:17f
[ 5805.408538] 958:22f
[ 5805.408543] 130:17f
[ 5805.408547] 973:17f
[ 5805.408552] 15:22f
[ 5805.408557] 992:22f
[ 5805.408561] 46:17f
[ 5805.408566] 972:27f
[ 5805.408571] 1003:17f
[ 5805.408575] 55:22f
[ 5805.408580] 1010:17f
[ 5805.408585] 5:22f
[ 5805.408590] 1057:17f
[ 5805.408594] 141:27f
[ 5805.408599] 936:17f
[ 5805.408604] 89:22f
[ 5805.408608] 929:17f
[ 5805.408613] 333:22f
[ 5805.408617] 729:17f
[ 5805.408622] 527:22f
[ 5805.408627] 487:17f
[ 5805.408631] 693:22f
[ 5805.408636] 357:17f
[ 5805.408640] 841:22f
[ 5805.408645] 146:17f
[ 5805.408650] 856:22f
[ 5805.408655] 363:17f
[ 5805.408659] 855:22f
[ 5805.408664] 118:17f
[ 5805.408668] 1012:27f
[ 5805.408673] 1046:17f
[ 5805.408678] 47:22f
[ 5805.408682] 1009:17f
[ 5805.408687] 254:22f
[ 5805.408691] 756:17f
[ 5805.408696] 534:22f
[ 5805.408701] 467:17f
[ 5805.408705] 579:22f
[ 5805.408710] 423:17f
[ 5805.408715] 829:22f
[ 5805.408719] 234:17f
[ 5805.408724] 867:22f
[ 5805.408729] 238:17f
[ 5805.408733] 853:27f
[ 5805.408738] 1039:17f
[ 5805.408742] 80:22f
[ 5805.408747] 988:27f
[ 5805.408752] 1001:17f
[ 5805.408756] 182:22f
[ 5805.408761] 931:17f
[ 5805.408765] 359:22f
