[20522.443979] 987:27f
[20522.443984] 979:27f
[20522.443988] 946:27f
[20522.443993] 38:22f
[20522.443998] 923:17f
[20522.444002] 191:22f
[20522.444007] 776:17f
[20522.444012] 203:22f
[20522.444017] 1014:22f
[20522.444021] 61:27f
[20522.444026] 264:18f
[20522.444031] 1232:27f
[20522.444035] 1536:27f
[20522.444040] 955:17f
[20522.444045] 427:22f
[20522.444049] 563:27f
[20522.444054] 968:22f
[20522.444059] 114:17f
[20522.444063] 984:27f
[20522.444068] 908:22f
[20522.444073] 81:17f
[20522.444077] 896:22f
[20522.444082] 284:17f
[20522.444087] 800:22f
[20522.444091] 188:17f
[20522.444096] 992:27f
[20522.444101] 985:22f
[20522.444105] 44:27f
[20522.444110] 864:17f
[20522.444115] 59:22f
[20522.444119] 999:17f
[20522.444124] 218:22f
[20522.444129] 803:17f
[20522.444133] 273:22f
[20522.444138] 923:17f
[20522.444143] 120:22f
[20522.444147] 840:17f
[20522.444152] 168:22f
[20522.444156] 974:22f
[20522.444161] 32:17f
[20522.444166] 1022:22f
[20522.444170] 12:17f
[20522.444175] 724:18f
[20522.444180] 1303:27f
[20522.444184] 378:17f
[20522.444189] 601:27f
[20522.444194] 1150:17f
[20522.444199] 757:22f
[20522.444203] 225:27f
[20522.444208] 946:27f
[20522.444213] 990:27f
[20522.444217] 962:27f
[20522.444222] 13:17f
[20522.444227] 975:27f
[20522.444231] 965:27f
[20522.444236] 973:27f
[20522.444241] 963:22f
[20522.444245] 992:27f
[20522.444250] 978:17f
[20522.444255] 171:22f
[20522.444259] 998:27f
[20522.444264] 968:27f
[20522.444269] 967:27f
[20522.444273] 943:22f
[20522.444278] 175:17f
[20522.444282] 848:22f
[20522.444287] 687:17f
[20522.444292] 1019:22f
[20522.444297] 1:27f
[20522.444301] 2:17f
[20522.444306] 35:18f
[20522.444310] 1335:27f
[20522.444315] 956:27f
[20522.444320] 1054:27f
[20522.444324] 1009:17f
[20522.444329] 243:22f
[20522.444334] 979:17f
[20522.444339] 77:22f
[20522.444343] 981:17f
[20522.444348] 200:22f
[20522.444353] 967:17f
[20522.444357] 30:22f
[20522.444362] 960:17f
[20522.444367] 222:22f
[20522.444371] 907:17f
[20522.444376] 280:22f
[20522.444381] 683:17f
[20522.444385] 421:22f
[20522.444390] 576:17f
[20522.444395] 398:22f
[20522.444399] 703:17f
[20522.444404] 286:22f
[20522.444408] 711:17f
[20522.444413] 313:22f
[20522.444418] 690:17f
[20522.444423] 304:22f
[20522.444427] 887:17f
[20522.444432] 77:22f
[20522.444437] 917:17f
[20522.444441] 36:22f
[20522.444446] 994:22f
[20522.444451] 217:17f
[20522.444455] 774:22f
[20522.444460] 195:17f
[20522.444465] 597:18f
[20522.444469] 1424:27f
[20522.444474] 2:17f
[20522.444479] 977:17f
[20522.444483] 982:27f
[20522.444488] 772:22f
[20522.444493] 185:17f
[20522.444497] 785:22f
[20522.444502] 1032:27f
[20522.444507] 963:17f
[20522.444511] 978:22f
[20522.444516] 384:17f
[20522.444521] 585:22f
[20522.444525] 914:27f
[20522.444530] 1004:27f
[20522.444535] 974:27f
[20522.444540] 1006:27f
[20522.444544] 1116:27f
[20522.444549] 986:22f
[20522.444554] 241:17f
[20522.444558] 916:27f
[20522.444563] 972:27f
[20522.444568] 945:22f
[20522.444572] 880:17f
[20522.444577] 970:18f
[20522.444582] 1366:27f
[20522.444586] 978:27f
[20522.444591] 955:27f
[20522.444596] 923:22f
[20522.444600] 227:27f
[20522.444605] 1030:22f
[20522.444610] 219:17f
[20522.444615] 778:22f
[20522.444619] 208:17f
[20522.444624] 855:22f
[20522.444628] 195:17f
[20522.444633] 1035:27f
[20522.444638] 5:22f
[20522.444643] 921:17f
[20522.444647] 53:22f
[20522.444652] 1079:27f
[20522.444657] 954:27f
[20522.444661] 1070:22f
[20522.444666] 347:17f
[20522.444671] 924:22f
[20522.444675] 850:27f
[20522.444680] 1068:22f
[20522.444685] 51:17f
[20522.444689] 939:22f
[20522.444694] 913:27f
[20522.444699] 1004:27f
[20522.444703] 1000:22f
[20522.444708] 40:18f
[20522.444713] 1442:17f
[20522.444718] 477:27f
[20522.444722] 956:17f
[20522.444727] 1240:17f
[20522.444732] 118:22f
[20522.444736] 868:17f
[20522.444741] 100:22f
[20522.444746] 873:17f
[20522.444750] 132:22f
[20522.444755] 844:17f
[20522.444760] 128:22f
[20522.444764] 969:22f
[20522.444769] 26:17f
[20522.444773] 944:22f
[20522.444778] 16:17f
[20522.444783] 981:27f
[20522.444788] 1028:27f
[20522.444792] 944:27f
[20522.444797] 24:17f
[20522.444802] 976:22f
[20522.444806] 80:17f
[20522.444811] 886:22f
[20522.444816] 137:17f
[20522.444820] 980:17f
[20522.444825] 72:22f
[20522.444830] 908:17f
[20522.444834] 107:22f
[20522.444839] 990:22f
[20522.444843] 11:17f
[20522.444848] 966:17f
[20522.444853] 229:22f
[20522.444857] 846:17f
[20522.444862] 122:22f
[20522.444867] 561:18f
[20522.444871] 1467:17f
[20522.444876] 72:27f
[20522.444881] 971:27f
[20522.444885] 946:27f
[20522.444890] 729:22f
[20522.444895] 260:27f
[20522.444900] 956:27f
[20522.444904] 971:27f
[20522.444909] 961:27f
[20522.444914] 983:22f
[20522.444918] 1:27f
[20522.444923] 989:27f
[20522.444927] 962:27f
[20522.444932] 1054:22f
[20522.444937] 26:17f
[20522.444942] 978:17f
[20522.444946] 107:22f
[20522.444951] 1047:22f
[20522.444956] 433:17f
[20522.444960] 540:22f
[20522.444965] 800:17f
[20522.444970] 179:22f
[20522.444974] 1029:27f
[20522.444979] 980:27f
[20522.444984] 6:22f
[20522.444988] 945:27f
[20522.444993] 1006:22f
[20522.444998] 33:27f
[20522.445002] 569:18f
[20522.445007] 1331:27f
[20522.445012] 1163:27f
[20522.445017] 941:17f
[20522.445021] 724:22f
[20522.445026] 277:27f
[20522.445030] 953:27f
[20522.445035] 990:17f
[20522.445040] 193:22f
[20522.445045] 768:17f
[20522.445049] 401:22f
[20522.445054] 773:17f
[20522.445059] 385:22f
[20522.445063] 805:17f
[20522.445068] 157:22f
[20522.445072] 945:17f
[20522.445077] 271:22f
[20522.445082] 706:17f
[20522.445087] 283:22f
[20522.445091] 716:17f
[20522.445096] 272:22f
[20522.445101] 965:17f
[20522.445105] 263:22f
[20522.445110] 754:17f
[20522.445115] 456:22f
[20522.445119] 724:17f
[20522.445124] 505:22f
[20522.445129] 691:17f
[20522.445133] 457:22f
[20522.445138] 519:17f
[20522.445143] 681:22f
[20522.445147] 383:17f
[20522.445152] 530:18f
[20522.445157] 1579:17f
[20522.445162] 94:27f
[20522.445166] 981:27f
[20522.445171] 960:27f
[20522.445175] 573:22f
[20522.445180] 416:27f
[20522.445185] 948:27f
[20522.445189] 971:27f
[20522.445194] 1159:22f
[20522.445199] 526:17f
[20522.445203] 446:22f
[20522.445208] 963:22f
[20522.445213] 318:17f
[20522.445217] 799:22f
[20522.445222] 892:17f
[20522.445227] 295:22f
[20522.445231] 994:27f
[20522.445236] 962:27f
[20522.445241] 955:27f
[20522.445245] 983:22f
[20522.445250] 580:17f
[20522.445255] 548:22f
[20522.445260] 995:27f
[20522.445264] 949:27f
[20522.445269] 943:22f
[20522.445274] 161:18f
[20522.445278] 1367:27f
[20522.445283] 353:17f
[20522.445288] 968:17f
[20522.445292] 982:17f
[20522.445297] 631:22f
[20522.445302] 560:17f
[20522.445306] 406:22f
[20522.445311] 563:17f
[20522.445316] 606:22f
[20522.445320] 561:17f
[20522.445325] 492:22f
[20522.445330] 477:17f
[20522.445334] 669:22f
[20522.445339] 434:17f
[20522.445344] 540:22f
[20522.445348] 674:17f
[20522.445353] 441:22f
[20522.445358] 591:17f
[20522.445362] 572:22f
[20522.445367] 655:17f
[20522.445372] 382:22f
[20522.445376] 606:17f
[20522.445381] 569:22f
[20522.445386] 422:17f
[20522.445390] 574:22f
[20522.445395] 673:17f
[20522.445400] 315:22f
[20522.445404] 682:17f
[20522.445409] 391:22f
[20522.445414] 772:17f
[20522.445418] 193:22f
[20522.445423] 1039:17f
[20522.445428] 91:22f
[20522.445432] 723:18f
[20522.445437] 1395:27f
[20522.445442] 252:17f
[20522.445446] 719:27f
[20522.445451] 946:27f
[20522.445456] 861:22f
[20522.445461] 98:17f
[20522.445465] 870:22f
[20522.445470] 996:22f
[20522.445474] 238:17f
[20522.445479] 978:17f
[20522.445484] 13:22f
[20522.445488] 1147:22f
[20522.445493] 598:17f
[20522.445498] 587:22f
[20522.445502] 624:17f
[20522.445507] 562:22f
[20522.445512] 627:17f
[20522.445516] 543:22f
[20522.445521] 914:27f
[20522.445526] 1010:22f
[20522.445530] 55:17f
[20522.445535] 932:27f
[20522.445540] 941:22f
[20522.445544] 946:17f
[20522.445549] 269:22f
[20522.445554] 860:17f
[20522.445558] 209:22f
[20522.445563] 788:17f
[20522.445568] 232:22f
[20522.445572] 776:18f
[20522.445577] 1229:27f
[20522.445582] 352:17f
[20522.445587] 846:27f
[20522.445591] 1210:27f
[20522.445596] 549:22f
[20522.445600] 423:27f
[20522.445605] 945:27f
[20522.445610] 973:27f
[20522.445615] 946:27f
[20522.445619] 1134:27f
[20522.445624] 911:22f
[20522.445628] 240:17f
[20522.445633] 888:22f
[20522.445638] 736:17f
[20522.445643] 213:22f
[20522.445647] 1219:17f
[20522.445652] 110:22f
[20522.445657] 1058:27f
[20522.445662] 969:27f
[20522.445666] 942:17f
[20522.445671] 207:22f
[20522.445675] 977:27f
[20522.445680] 1020:27f
[20522.445685] 992:27f
[20522.445690] 905:18f
[20522.445694] 1328:27f
[20522.445699] 1214:27f
[20522.445704] 949:27f
[20522.445708] 700:22f
[20522.445713] 308:27f
[20522.445718] 945:27f
[20522.445722] 959:22f
[20522.445727] 42:17f
[20522.445732] 970:17f
[20522.445737] 112:22f
[20522.445741] 853:17f
[20522.445746] 265:22f
[20522.445750] 764:17f
[20522.445755] 363:22f
[20522.445760] 748:17f
[20522.445764] 271:22f
[20522.445769] 701:17f
[20522.445774] 452:22f
[20522.445778] 531:17f
[20522.445783] 466:22f
[20522.445788] 500:17f
[20522.445792] 740:22f
[20522.445797] 504:17f
[20522.445802] 580:22f
[20522.445806] 382:17f
[20522.445811] 594:22f
[20522.445816] 498:17f
[20522.445820] 546:22f
[20522.445825] 627:17f
[20522.445830] 344:22f
[20522.445835] 628:17f
[20522.445839] 369:22f
[20522.445844] 732:18f
[20522.445848] 1322:27f
[20522.445853] 602:17f
[20522.445858] 367:27f
[20522.445863] 977:17f
[20522.445867] 1014:22f
[20522.445872] 10:17f
[20522.445877] 958:22f
[20522.445881] 95:17f
[20522.445886] 961:27f
[20522.445891] 938:17f
[20522.445895] 1008:22f
[20522.445900] 152:17f
[20522.445904] 872:22f
[20522.445909] 315:17f
[20522.445914] 1058:27f
[20522.445919] 946:17f
[20522.445923] 360:22f
[20522.445928] 672:17f
[20522.445933] 965:17f
[20522.445937] 275:22f
[20522.445942] 693:17f
[20522.445947] 971:27f
[20522.445951] 971:27f
[20522.445956] 945:27f
[20522.445961] 955:17f
[20522.445965] 156:22f
[20522.445970] 891:17f
[20522.445975] 534:18f
[20522.445979] 1247:27f
[20522.445984] 1219:27f
[20522.445989] 989:27f
[20522.445994] 752:22f
[20522.445998] 211:27f
[20522.446003] 973:27f
[20522.446008] 959:17f
[20522.446012] 73:22f
[20522.446017] 976:27f
[20522.446022] 979:17f
[20522.446026] 90:22f
[20522.446031] 1019:17f
[20522.446036] 103:22f
[20522.446040] 975:22f
[20522.446045] 113:17f
[20522.446050] 1030:17f
[20522.446054] 88:22f
[20522.446059] 964:22f
[20522.446064] 155:17f
[20522.446068] 918:22f
[20522.446073] 220:17f
[20522.446078] 966:22f
[20522.446082] 86:17f
[20522.446087] 981:27f
[20522.446092] 976:27f
[20522.446096] 939:22f
[20522.446101] 13:27f
[20522.446105] 3:17f
[20522.446110] 1002:22f
[20522.446115] 10:17f
[20522.446119] 958:18f
[20522.446124] 1239:27f
[20522.446129] 302:17f
[20522.446134] 666:27f
[20522.446138] 948:27f
[20522.446143] 1032:22f
[20522.446147] 52:17f
[20522.446152] 914:22f
[20522.446157] 291:17f
[20522.446162] 702:22f
[20522.446166] 494:17f
[20522.446171] 700:22f
[20522.446175] 415:17f
[20522.446180] 587:22f
[20522.446185] 611:17f
[20522.446189] 436:22f
[20522.446194] 669:17f
[20522.446199] 544:22f
[20522.446203] 478:17f
[20522.446208] 527:22f
[20522.446213] 499:17f
[20522.446217] 538:22f
[20522.446222] 561:17f
[20522.446227] 609:22f
[20522.446231] 569:17f
[20522.446236] 492:22f
[20522.446241] 604:17f
[20522.446246] 427:22f
[20522.446250] 522:17f
[20522.446255] 465:22f
[20522.446260] 587:17f
[20522.446264] 634:22f
[20522.446269] 382:17f
[20522.446273] 606:22f
[20522.446278] 471:17f
[20522.446283] 408:18f
[20522.446288] 1568:17f
[20522.446292] 148:27f
[20522.446297] 969:27f
[20522.446301] 945:27f
[20522.446306] 557:22f
[20522.446311] 452:27f
[20522.446316] 973:27f
[20522.446320] 995:27f
[20522.446325] 1146:27f
[20522.446330] 998:27f
[20522.446334] 956:27f
[20522.446339] 1196:27f
[20522.446344] 881:22f
[20522.446348] 208:17f
[20522.446353] 1031:27f
[20522.446358] 973:27f
[20522.446363] 1019:27f
[20522.446367] 958:27f
[20522.446372] 999:27f
[20522.446377] 1010:27f
[20522.446381] 975:27f
[20522.446386] 956:27f
[20522.446391] 77:18f
[20522.446396] 1701:17f
[20522.446400] 422:27f
[20522.446405] 1116:27f
[20522.446410] 924:22f
[20522.446414] 123:27f
[20522.446419] 1051:17f
[20522.446424] 373:22f
[20522.446428] 707:17f
[20522.446433] 466:22f
[20522.446438] 588:17f
[20522.446442] 521:22f
[20522.446447] 518:17f
[20522.446452] 455:22f
[20522.446456] 687:17f
[20522.446461] 532:22f
[20522.446466] 570:17f
[20522.446470] 639:22f
[20522.446475] 333:17f
[20522.446480] 720:22f
[20522.446484] 310:17f
[20522.446489] 702:22f
[20522.446494] 289:17f
[20522.446498] 671:22f
[20522.446503] 291:17f
[20522.446508] 726:22f
[20522.446512] 406:17f
[20522.446517] 741:22f
[20522.446522] 228:17f
[20522.446526] 858:22f
[20522.446531] 370:17f
[20522.446536] 743:22f
[20522.446540] 245:17f
[20522.446545] 764:22f
[20522.446550] 191:18f
[20522.446555] 1613:17f
[20522.446559] 270:27f
[20522.446564] 962:27f
[20522.446568] 964:17f
[20522.446573] 325:22f
[20522.446578] 604:27f
[20522.446583] 1033:27f
[20522.446587] 861:22f
[20522.446592] 187:17f
[20522.446597] 967:22f
[20522.446601] 200:17f
[20522.446606] 797:22f
[20522.446611] 249:17f
[20522.446615] 923:22f
[20522.446620] 87:17f
[20522.446625] 1027:27f
[20522.446629] 3:22f
[20522.446634] 960:27f
[20522.446639] 977:22f
[20522.446643] 5:27f
[20522.446648] 952:17f
[20522.446652] 248:22f
[20522.446657] 884:17f
[20522.446662] 80:22f
[20522.446666] 1014:27f
[20522.446671] 917:22f
[20522.446676] 42:17f
[20522.446680] 975:17f
[20522.446685] 103:22f
[20522.446690] 896:17f
[20522.446695] 255:22f
[20522.446699] 605:18f
[20522.446704] 1544:27f
[20522.446709] 59:17f
[20522.446713] 909:27f
[20522.446718] 946:27f
[20522.446722] 731:22f
[20522.446727] 283:27f
[20522.446732] 958:17f
[20522.446737] 127:22f
[20522.446741] 964:27f
[20522.446746] 965:27f
[20522.446750] 55:17f
[20522.446755] 952:22f
[20522.446760] 166:17f
[20522.446764] 975:27f
[20522.446769] 946:22f
[20522.446774] 96:17f
[20522.446778] 997:27f
[20522.446783] 990:27f
[20522.446788] 910:17f
[20522.446792] 15:22f
[20522.446797] 953:17f
[20522.446802] 165:22f
[20522.446806] 987:27f
[20522.446811] 15:17f
[20522.446816] 961:27f
[20522.446820] 961:22f
[20522.446825] 186:17f
[20522.446830] 965:22f
[20522.446834] 73:17f
[20522.446839] 971:17f
