[ 4490.079347] 592:22f
[ 4490.079351] 346:17f
[ 4490.079356] 603:22f
[ 4490.079361] 366:17f
[ 4490.079365] 573:22f
[ 4490.079370] 397:17f
[ 4490.079375] 543:22f
[ 4490.079380] 420:17f
[ 4490.079384] 549:22f
[ 4490.079389] 398:17f
[ 4490.079394] 543:22f
[ 4490.079398] 397:17f
[ 4490.079403] 616:22f
[ 4490.079408] 360:17f
[ 4490.079412] 606:22f
[ 4490.079417] 363:17f
[ 4490.079422] 585:22f
[ 4490.079426] 356:17f
[ 4490.079431] 625:22f
[ 4490.079436] 364:17f
[ 4490.079440] 574:22f
[ 4490.079445] 364:17f
[ 4490.079450] 625:22f
[ 4490.079455] 382:17f
[ 4490.079459] 556:22f
[ 4490.079464] 398:17f
[ 4490.079468] 571:22f
[ 4490.079473] 407:17f
[ 4490.079478] 556:22f
[ 4490.079483] 383:17f
[ 4490.079487] 569:22f
[ 4490.079492] 386:17f
[ 4490.079497] 597:22f
[ 4490.079501] 386:17f
[ 4490.079506] 553:22f
[ 4490.079511] 419:17f
[ 4490.079515] 520:22f
[ 4490.079520] 446:17f
[ 4490.079525] 494:22f
[ 4490.079530] 450:17f
[ 4490.079534] 519:22f
[ 4490.079539] 470:17f
[ 4490.079543] 479:22f
[ 4490.079548] 466:17f
[ 4490.079553] 547:22f
[ 4490.079558] 403:17f
[ 4490.079562] 542:22f
[ 4490.079567] 408:17f
[ 4490.079571] 561:22f
[ 4490.079577] 376:17f
[ 4490.079581] 564:22f
[ 4490.079586] 408:17f
[ 4490.079590] 574:22f
[ 4490.079595] 420:17f
[ 4490.079600] 520:22f
[ 4490.079605] 440:17f
[ 4490.079609] 528:22f
[ 4490.079614] 447:17f
[ 4490.079619] 502:22f
[ 4490.079623] 458:17f
[ 4490.079628] 535:22f
[ 4490.079633] 411:17f
[ 4490.079637] 555:22f
[ 4490.079642] 393:17f
[ 4490.079647] 596:22f
[ 4490.079652] 394:17f
[ 4490.079656] 595:22f
[ 4490.079661] 374:17f
[ 4490.079666] 575:22f
[ 4490.079670] 363:17f
[ 4490.079675] 626:22f
[ 4490.079680] 349:17f
[ 4490.079684] 607:22f
[ 4490.079689] 356:17f
[ 4490.079694] 585:22f
[ 4490.079698] 388:17f
[ 4490.079703] 625:22f
[ 4490.079708] 321:17f
[ 4490.079713] 622:22f
[ 4490.079717] 347:17f
[ 4490.079722] 591:22f
[ 4490.079727] 358:17f
[ 4490.079731] 591:22f
[ 4490.079736] 385:17f
[ 4490.079741] 561:22f
[ 4490.079745] 430:17f
[ 4490.079750] 531:22f
[ 4490.079755] 408:17f
[ 4490.079759] 561:22f
[ 4490.079764] 378:17f
[ 4490.079769] 611:22f
[ 4490.079773] 349:17f
[ 4490.079778] 658:22f
[ 4490.079783] 332:17f
[ 4490.079787] 619:22f
[ 4490.079792] 325:17f
[ 4490.079797] 659:22f
[ 4490.079802] 330:17f
[ 4490.079806] 610:22f
[ 4490.079811] 380:17f
[ 4490.079815] 609:22f
[ 4490.079820] 339:17f
[ 4490.079825] 610:22f
[ 4490.079830] 330:17f
[ 4490.079834] 608:22f
[ 4490.079839] 379:17f
[ 4490.079844] 570:22f
[ 4490.079848] 390:17f
[ 4490.079853] 572:22f
[ 4490.079858] 419:17f
[ 4490.079862] 526:22f
[ 4490.079867] 419:17f
[ 4490.079872] 519:22f
[ 4490.079877] 476:17f
[ 4490.079881] 528:22f
[ 4490.079886] 423:17f
[ 4490.079891] 519:22f
[ 4490.079895] 422:17f
[ 4490.079900] 567:22f
[ 4490.079905] 371:17f
[ 4490.079909] 577:22f
[ 4490.079914] 392:17f
[ 4490.079919] 546:22f
[ 4490.079923] 423:17f
[ 4490.079928] 550:22f
[ 4490.079933] 463:17f
[ 4490.079937] 480:22f
[ 4490.079942] 485:17f
[ 4490.079947] 483:22f
[ 4490.079952] 506:17f
[ 4490.079956] 483:22f
[ 4490.079961] 485:17f
[ 4490.079966] 973:17f
[ 4490.079970] 946:17f
[ 4490.079975] 990:17f
[ 4490.079980] 1744:22f
[ 4490.079984] 292:17f
[ 4490.079989] 4301:27f
[ 4490.079994] 3176:22f
[ 4490.079999] 243:17f
[ 4490.080003] 6195:27f
[ 4490.080008] 1293:22f
[ 4490.080013] 226:17f
[ 4490.080018] 7610:22f
[ 4490.080022] 125:17f
[ 4490.080027] 2732:27f
